Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",0,3.88,Random House ,Hardcover,401,2007,2007,,2017/02/26,"to-read, non-fiction","to-read (#145), non-fiction (#137)",to-read,,,,0,,,0,,,,,
291920,The Character of Physical Law,Richard Feynman,"Feynman, Richard",James Gleick,"=""0679601279""","=""9780679601272""",0,4.27,Modern Library,Hardcover,192,1994,1964,,2017/02/26,"to-read, non-fiction","to-read (#144), non-fiction (#136)",to-read,,,,0,,,0,,,,,
6779,"Six Not-So-Easy Pieces: Einstein's Relativity, Symmetry, and Space-Time",Richard Feynman,"Feynman, Richard",Roger Penrose,"=""0465023932""","=""9780465023936""",0,4.19,Basic Books,Paperback,184,2005,1963,,2017/02/26,"to-read, non-fiction","to-read (#143), non-fiction (#135)",to-read,,,,0,,,0,,,,,
12672387,The Quantum Universe: Everything That Can Happen Does Happen,Brian Cox,"Cox, Brian",Jeffrey R. Forshaw,"=""1846144329""","=""9781846144325""",0,3.77,Allen Lane,Hardcover,256,2011,2011,,2017/02/26,"to-read, non-fiction","to-read (#142), non-fiction (#134)",to-read,,,,0,,,0,,,,,
5958783,Why Does E=mc²? (And Why Should We Care?),Brian Cox,"Cox, Brian",Jeffrey R. Forshaw,"=""0306817586""","=""9780306817588""",0,3.99,Da Capo Press,Hardcover,264,2009,2009,,2017/02/26,"to-read, non-fiction","to-read (#141), non-fiction (#133)",to-read,,,,0,,,0,,,,,
18210750,Quantum Mechanics: The Theoretical Minimum (Theoretical Minimum #2),Leonard Susskind,"Susskind, Leonard",Art Friedman,"=""0465036678""","=""9780465036677""",0,4.27,Basic Books,Hardcover,364,2014,2014,,2017/02/26,"to-read, non-fiction","to-read (#140), non-fiction (#132)",to-read,,,,0,,,0,,,,,
13058637,Subliminal: How Your Unconscious Mind Rules Your Behavior,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0307378217""","=""9780307378217""",0,4.03,Pantheon,Hardcover,260,2012,2012,,2017/02/26,"to-read, non-fiction","to-read (#139), non-fiction (#131)",to-read,,,,0,,,0,,,,,
296420,Comet,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345412222""","=""9780345412225""",0,4.01,Ballantine Books,Paperback,432,1997,1985,,2017/02/26,"to-read, non-fiction","to-read (#138), non-fiction (#130)",to-read,,,,0,,,0,,,,,
61662,Shadows of Forgotten Ancestors,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345384725""","=""9780345384720""",0,4.24,Ballantine Books,Paperback,505,1993,1992,,2017/02/26,"to-read, non-fiction","to-read (#137), non-fiction (#129)",to-read,,,,0,,,0,,,,,
61661,The Varieties of Scientific Experience: A Personal View of the Search for God,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""1594201072""","=""9781594201073""",0,4.28,"Penguin Press HC, The",Hardcover,284,2006,2006,,2017/02/26,"to-read, non-fiction","to-read (#136), non-fiction (#128)",to-read,,,,0,,,0,,,,,
485812,Broca's Brain: Reflections on the Romance of Science,Carl Sagan,"Sagan, Carl",,"=""0345336895""","=""9780345336897""",0,4.03,Ballantine Books,Mass Market Paperback,398,1986,1979,,2017/02/26,"to-read, non-fiction","to-read (#135), non-fiction (#127)",to-read,,,,0,,,0,,,,,
32276,Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,"Sagan, Carl",,"=""0345346297""","=""9780345346292""",0,4.16,Ballantine Books,Paperback,271,1986,1977,,2017/02/26,"to-read, non-fiction","to-read (#134), non-fiction (#126)",to-read,,,,0,,,0,,,,,
61663,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345376595""","=""9780345376596""",0,4.32,Ballantine Books,Paperback,384,1997,1994,,2017/02/26,"to-read, non-fiction","to-read (#133), non-fiction (#125)",to-read,,,,0,,,0,,,,,
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",0,4.27,Ballantine Books,Paperback,457,1997,1995,,2017/02/26,"to-read, non-fiction","to-read (#132), non-fiction (#124)",to-read,,,,0,,,0,,,,,
61666,Contact,Carl Sagan,"Sagan, Carl",,"=""2266079999""","=""9782266079990""",0,4.10,Pocket,Mass Market Paperback,580,1997,1985,,2017/02/26,"to-read, fiction","to-read (#131), fiction (#8)",to-read,,,,0,,,0,,,,,
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",0,4.35,Random House,Mass Market Paperback,384,2002,1980,,2017/02/26,"to-read, non-fiction","to-read (#130), non-fiction (#123)",to-read,,,,0,,,0,,,,,
64582,Chaos: Making a New Science,James Gleick,"Gleick, James",,"=""0140092501""","=""9780140092509""",0,3.97,Penguin Books,Paperback,352,1988,1987,,2017/02/26,"to-read, non-fiction","to-read (#129), non-fiction (#122)",to-read,,,,0,,,0,,,,,
8174588,The Shape of Inner Space: String Theory and the Geometry of the Universe's Hidden Dimensions,Shing-Tung Yau,"Yau, Shing-Tung",Steve Nadis,"=""0465020232""","=""9780465020232""",0,3.93,Basic Books,Hardcover,400,2010,2010,,2017/02/26,"to-read, non-fiction","to-read (#128), non-fiction (#121)",to-read,,,,0,,,0,,,,,
271361,e: the Story of a Number,Eli Maor,"Maor, Eli",,"=""0691058547""","=""9780691058542""",0,3.89,Princeton University Press,Paperback,248,1998,1993,,2017/02/26,"to-read, non-fiction","to-read (#127), non-fiction (#120)",to-read,,,,0,,,0,,,,,
551722,Unknown Quantity: A Real and Imaginary History of Algebra,John Derbyshire,"Derbyshire, John",,"=""0452288533""","=""9780452288539""",0,3.84,Plume,Paperback,374,2007,2006,,2017/02/26,"to-read, non-fiction","to-read (#126), non-fiction (#119)",to-read,,,,0,,,0,,,,,
261830,"The God Particle: If the Universe Is the Answer, What Is the Question?",Leon M. Lederman,"Lederman, Leon M.",Dick Teresi,"=""0385312113""","=""9780385312110""",0,4.10,Delta,Paperback,448,1994,1993,,2017/02/26,"to-read, non-fiction","to-read (#125), non-fiction (#118)",to-read,,,,0,,,0,,,,,
2161966,The Black Hole War: My Battle with Stephen Hawking to Make the World Safe for Quantum Mechanics,Leonard Susskind,"Susskind, Leonard",,"=""0316016403""","=""9780316016407""",0,4.08,"Little, Brown and Company",Hardcover,480,2008,2008,,2017/02/26,"to-read, non-fiction","to-read (#124), non-fiction (#117)",to-read,,,,0,,,0,,,,,
20663770,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""039335038X""","=""9780393350388""",0,4.11,W. W. Norton & Company,Paperback,384,2014,2006,,2017/02/26,"to-read, non-fiction","to-read (#123), non-fiction (#116)",to-read,,,,0,,,0,,,,,
8049273,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"Greene, Brian",,"=""039333810X""","=""9780393338102""",0,4.06,W. W. Norton & Company,Paperback,464,2010,1999,,2017/02/26,"to-read, non-fiction","to-read (#122), non-fiction (#115)",to-read,,,,0,,,0,,,,,
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",0,4.11,Bantam Books,Paperback,212,1998,1987,,2017/02/26,"to-read, non-fiction","to-read (#121), non-fiction (#114)",to-read,,,,0,,,0,,,,,
1244856,Symmetry: A Journey into the Patterns of Nature,Marcus du Sautoy,"Sautoy, Marcus du",,"=""0060789409""","=""9780060789404""",0,3.76,Harper,Hardcover,384,2008,2007,,2017/02/26,"to-read, non-fiction","to-read (#120), non-fiction (#113)",to-read,,,,0,,,0,,,,,
51287,Incompleteness: The Proof and Paradox of Kurt Gödel (Great Discoveries),Rebecca Goldstein,"Goldstein, Rebecca",,"=""0393327604""","=""9780393327601""",0,3.94,W. W. Norton & Company,Paperback,224,2006,2005,,2017/02/26,"to-read, non-fiction","to-read (#119), non-fiction (#112)",to-read,,,,0,,,0,,,,,
218392,Prime Obsession: Bernhard Riemann and the Greatest Unsolved Problem in Mathematics,John Derbyshire,"Derbyshire, John",,"=""0452285259""","=""9780452285255""",0,4.06,Plume,Paperback,422,,2003,,2017/02/26,"to-read, non-fiction","to-read (#118), non-fiction (#111)",to-read,,,,0,,,0,,,,,
79082,Symmetry and the Monster: One of the Greatest Quests of Mathematics,Mark Ronan,"Ronan, Mark",,"=""0192807226""","=""9780192807229""",0,3.71,"Oxford University Press, USA",Hardcover,255,2006,2006,,2017/02/26,"to-read, non-fiction","to-read (#117), non-fiction (#110)",to-read,,,,0,,,0,,,,,
2272880,The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0375424040""","=""9780375424045""",0,3.87,Pantheon,Hardcover,252,2008,2008,,2017/02/26,"to-read, non-fiction","to-read (#116), non-fiction (#109)",to-read,,,,0,,,0,,,,,
5535337,Diophantus of Alexandria: A Study in the History of Greek Algebra (1910),Thomas L. Heath,"Heath, Thomas L.",,"=""1436537207""","=""9781436537209""",0,4.00,Kessinger Publishing,Hardcover,398,2008,2007,,2017/02/26,"to-read, non-fiction","to-read (#115), non-fiction (#108)",to-read,,,,0,,,0,,,,,
1179235,Treatise On Conic Sections,Thomas L. Heath,"Heath, Thomas L.",,"=""1578983797""","=""9781578983797""",0,4.25,Martino Fine Books,Unknown Binding,254,2002,2002,,2017/02/26,"to-read, non-fiction","to-read (#114), non-fiction (#107)",to-read,,,,0,,,0,,,,,
53742,Foundations of Analysis,Edmund Landau,"Landau, Edmund",,"=""082182693X""","=""9780821826935""",0,4.41,American Mathematical Society(RI),Hardcover,136,2001,2001,,2017/02/26,"to-read, non-fiction","to-read (#113), non-fiction (#106)",to-read,,,,0,,,0,,,,,
214441,Euclid's Elements,Euclid,"Euclid, Euclid","Thomas L. Heath, Dana Densmore","=""1888009195""","=""9781888009194""",0,4.27,Green Lion Press,Paperback,499,2002,-290,,2017/02/26,"to-read, non-fiction","to-read (#112), non-fiction (#105)",to-read,,,,0,,,0,,,,,
1398393,The Works of Archimedes,Archimedes,"Archimedes, Archimedes",Thomas L. Heath,"=""0486420841""","=""9780486420844""",0,4.26,Dover Publications,Paperback,576,2002,1897,,2017/02/26,"to-read, non-fiction","to-read (#111), non-fiction (#104)",to-read,,,,0,,,0,,,,,
32680336,The Mathematical Principles of Natural Philosophy: The Principia,Isaac Newton,"Newton, Isaac",Andrew Motte,"=""1512245844""","=""9781512245844""",0,0.0,CreateSpace Independent Publishing Platform,Paperback,408,2015,,,2017/02/26,"to-read, non-fiction","to-read (#110), non-fiction (#103)",to-read,,,,0,,,0,,,,,
144526,The Geometry of René Descartes: with a Facsimile of the First Edition,René Descartes,"Descartes, René","Marcia L. Latham, David Eugene Smith","=""0486600688""","=""9780486600680""",0,4.10,Dover Publications,Paperback,244,1954,1637,,2017/02/26,"to-read, non-fiction","to-read (#109), non-fiction (#102)",to-read,,,,0,,,0,,,,,
